Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Valeriy Borzov, , 10.14, 1.91, 1.04, 0.96, 0.91, 0.90, 0.86, 0.88, 0.89, 0.89, 0.90
Jamie Henderson, , 10.34, 1.92, 1.07, 0.99, 0.87, 0.89, 0.91, 0.91, 0.99, 0.86, 0.93
Stanley Kerr, , 10.23, 2.01, 1.08, 0.94, 0.87, 0.87, 0.87, 0.90, 0.95, 0.82, 0.92
Derrick Florence, , 10.17, 1.93, 1.07, 0.97, 0.86, 0.89, 0.89, 0.85, 0.97, 0.82, 0.92
Raymond Stewart, , 10.23, 1.99, 1.06, 0.95, 0.92, 0.87, 0.86, 0.87, 0.87, 0.89, 0.95
Ben Johnson, , 10.24, 1.91, 1.02, 0.94, 0.91, 0.89, 0.88, 0.89, 0.90, 0.92, 0.98
Carl Lewis, , 10.05, 1.92, 1.06, 0.95, 0.89, 0.88, 0.87, 0.85, 0.85, 0.86, 0.92
Christian Haas, 0.176, 10.65, 1.814, 1.08, 1.02, 0.92, 0.93, 0.94, 0.93, 0.94, 0.95, 0.95
Carl Lewis, , 10.38, 2.01, 1.06, 0.98, 0.93, 0.90, 0.89, 0.89, 0.90, 0.90, 0.92
Ben Johnson, , 10.14, 1.88, 1.00, 0.94, 0.90, 0.88, 0.88, 0.87, 0.90, 0.91, 0.98
Raymond Stewart, , 10.14, 1.92, 1.05, 0.95, 0.91, 0.89, 0.87, 0.87, 0.87, 0.88, 0.93
Ben Johnson, , 10.15, 1.84, 1.04, 0.95, 0.92, 0.89, 0.87, 0.87, 0.88, 0.89, 1.00
Raymond Stewart, , 10.12, 1.94, 1.06, 0.96, 0.90, 0.88, 0.86, 0.87, 0.88, 0.88, 0.89
Carl Lewis, , 10.03, 1.94, 1.06, 0.98, 0.88, 0.87, 0.86, 0.85, 0.86, 0.85, 0.88
Lee McRae, 0.225, 10.34, 1.695, 1.06, 0.96, 0.93, 0.90, 0.89, 0.92, 0.92, 0.92, 0.92
Viktor Bryzgin, 0.139, 10.25, 1.801, 1.06, 0.97, 0.90, 0.90, 0.89, 0.90, 0.89, 0.90, 0.90
Attila Kovács, 0.201, 10.20, 1.769, 1.04, 0.97, 0.91, 0.88, 0.90, 0.88, 0.89, 0.89, 0.87
Linford Christie, 0.155, 10.14, 1.815, 1.04, 0.96, 0.90, 0.89, 0.86, 0.87, 0.88, 0.89, 0.88
Raymond Stewart, 0.235, 10.08, 1.755, 1.05, 0.94, 0.91, 0.87, 0.86, 0.87, 0.86, 0.87, 0.86
Carl Lewis, 0.196, 9.93, 1.744, 1.02, 0.95, 0.87, 0.86, 0.86, 0.86, 0.86, 0.85, 0.86
Ben Johnson, 0.109, 9.83, 1.731, 1.02, 0.94, 0.87, 0.86, 0.85, 0.85, 0.87, 0.86, 0.87
John Myles-Mills, , 10.43, 2.01, 1.05, 0.95, 0.90, 0.90, 0.90, 0.92, 0.93, 0.93, 0.94
Mardi Lestari, , 10.39, 2.01, 1.05, 0.94, 0.90, 0.90, 0.89, 0.91, 0.92, 0.93, 0.94
Olapade Adeniken, , 10.33, 1.99, 1.07, 0.96, 0.90, 0.90, 0.88, 0.90, 0.91, 0.91, 0.91
Arnaldo Oliveira Silva, , 10.32, 1.93, 1.04, 0.96, 0.91, 0.91, 0.89, 0.92, 0.92, 0.92, 0.92
Desai Williams, , 10.24, 1.89, 1.03, 0.93, 0.90, 0.90, 0.88, 0.91, 0.92, 0.92, 0.96
Calvin Smith, , 10.15, 1.95, 1.04, 0.94, 0.91, 0.90, 0.88, 0.88, 0.87, 0.87, 0.91
Carl Lewis, , 9.97, 1.95, 1.04, 0.94, 0.88, 0.88, 0.86, 0.86, 0.85, 0.85, 0.86
Isiak Adeyanju, , 10.60, 1.91, 1.06, 0.97, 0.94, 0.94, 0.93, 0.96, 0.96, 0.96, 0.97
Juan Núñez, , 10.35, 1.97, 1.04, 0.93, 0.93, 0.92, 0.89, 0.91, 0.91, 0.92, 0.93
Attila Kovács, , 10.31, 1.97, 1.05, 0.95, 0.92, 0.92, 0.89, 0.89, 0.90, 0.90, 0.92
Robson Caetano da Silva, , 10.24, 1.97, 1.04, 0.95, 0.90, 0.90, 0.88, 0.90, 0.90, 0.89, 0.91
Dennis Mitchell, , 10.23, 1.91, 1.04, 0.93, 0.91, 0.91, 0.89, 0.90, 0.91, 0.91, 0.92
Linford Christie, , 10.11, 1.92, 1.04, 0.94, 0.90, 0.89, 0.87, 0.88, 0.88, 0.88, 0.91
